date,home_team,away_team,home_score,away_score,tournament,neutral,k_factor,elo_home_pre,elo_away_pre
1904-05-01,Belgium,France,3,3,Évence Coppée Trophy,FALSE,30,1500.0000,1500.0000
1905-02-12,France,Switzerland,1,0,Friendly,FALSE,20,1504.2019,1500.0000
1905-05-07,Belgium,France,7,0,Friendly,FALSE,20,1473.5915,1511.2896
1906-04-22,France,Belgium,0,5,Friendly,FALSE,20,1492.7816,1480.0602
1907-04-21,Belgium,France,1,2,Friendly,FALSE,20,1514.5989,1466.5113
1908-03-08,Switzerland,France,1,2,Friendly,FALSE,20,1492.9124,1480.5329
1908-04-12,France,Belgium,1,2,Friendly,FALSE,20,1493.6592,1491.5648
1908-05-10,Netherlands,France,4,1,Friendly,FALSE,20,1544.6040,1480.8024
1908-10-22,France,Denmark,1,17,Olympic Games,TRUE,50,1470.9915,1500.0000
1909-05-09,Belgium,France,5,2,Friendly,FALSE,20,1476.3136,1393.6449
1910-04-03,France,Belgium,0,4,Friendly,FALSE,20,1384.5823,1496.3749
1910-05-15,Italy,France,6,2,Friendly,FALSE,20,1500.0000,1366.4685
1911-01-01,France,Hungary,0,3,Friendly,FALSE,20,1358.7134,1506.7949
1911-04-09,France,Italy,2,2,Friendly,FALSE,20,1343.6199,1479.8265
1911-04-23,Switzerland,France,5,2,Friendly,FALSE,20,1470.3668,1344.6583
1911-04-30,Belgium,France,7,1,Friendly,FALSE,20,1508.1943,1337.1583
1911-10-29,Luxembourg,France,1,4,Friendly,FALSE,20,1500.0000,1329.7796
1912-01-28,France,Belgium,1,1,Friendly,FALSE,20,1358.6794,1515.5730
1912-02-10,France,Catalonia,7,0,Friendly,FALSE,20,1360.3024,1500.0000
1912-02-18,France,Switzerland,4,1,Friendly,FALSE,20,1385.3621,1476.0056
1912-03-17,Italy,France,3,4,Friendly,FALSE,20,1463.5834,1402.3909
1912-12-01,Catalonia,France,1,0,Friendly,FALSE,20,1474.9403,1416.7239
1913-01-12,France,Italy,1,0,Friendly,FALSE,20,1410.9870,1408.7392
1913-02-16,Belgium,France,3,0,Friendly,FALSE,20,1514.0113,1418.1262
1913-03-09,Switzerland,France,1,4,Friendly,FALSE,20,1433.3950,1409.5651
1913-04-20,France,Luxembourg,8,0,Friendly,FALSE,20,1433.0510,1471.1002
1914-01-25,France,Belgium,4,3,Friendly,FALSE,20,1452.6105,1562.6310
1914-02-08,Luxembourg,France,5,4,Friendly,FALSE,20,1451.5407,1462.8988
1914-03-08,France,Switzerland,2,2,Friendly,FALSE,20,1455.3962,1409.1780
1914-03-29,Italy,France,2,0,Friendly,FALSE,20,1406.1490,1451.4197
1914-05-31,Hungary,France,5,1,Friendly,FALSE,20,1681.7540,1438.7632
1919-03-09,Belgium,France,2,2,Friendly,FALSE,20,1532.2510,1434.1914
1919-06-24,France,Romania,4,0,Inter-Allied Games,FALSE,30,1439.3454,1500.0000
1919-06-26,France,Greece,11,0,Inter-Allied Games,FALSE,30,1464.2989,1455.9278
1919-06-28,France,Italy,2,0,Inter-Allied Games,FALSE,30,1493.0840,1513.7330
1919-06-29,France,Czechoslovakia,2,3,Inter-Allied Games,FALSE,30,1510.5327,1536.7412
1920-01-18,Italy,France,9,4,Friendly,FALSE,20,1496.2843,1492.3940
1920-02-29,Switzerland,France,0,2,Friendly,FALSE,20,1386.8357,1478.2023
